Close Date,Created Date,Amount,Opportunities Won,Opportunity ID,Account ID,Opportunity Name,Stage,Probability (%),Opportunity Type,Lead Source,Forecast Category,Owner ID,Days In Stage,Fiscal Quarter,Opportunity Owner,Account Name,Account Type,Billing City,Billing State/Province,Billing Zip/Postal Code,Billing Country,Industry,Annual Revenue,Account Rating,Days to Close
9/24/2024,9/5/2024,6477648.8832,0,006al000004i3QPAAY,001al00000jXbhqAAC,"Accusage, Inc.-Add-On Business-2024-September-56k",Negotiation,90,Add-On Business,,Forecast,005al000003E0s7AAC,13,3,Paul Partner,"Accusage, Inc.",Mid-Market,Salt Lake City,UT,84119,USA,Healthcare & Life Sciences,0,Warm,97
9/23/2024,8/29/2024,741451.4415,0,006al000004i3hQAAQ,001al00000jXbjUAAS,Valdez Ltd-New Business-2024-September-5k,Proposal/Quote,75,New Business,,BestCase,005al000003E0tQAAS,13,3,Prakash Das,Valdez Ltd,Small Business,Sydney,NSW,2000,Australia,Manufacturing,,,103
9/22/2024,8/21/2024,31816291.4784,0,006al000004i3sjAAA,001al00000jXbjjAAC,Brown LLC-New Business-2024-September-261k,Negotiation,90,New Business,,Forecast,005al000003E0tEAAS,13,3,Yvette Acme,Brown LLC,Partner,D√ºsseldorf,North Rhine-Westphalia,40210,Germany,Banking,,,110
9/22/2024,10/31/2024,806134.032,0,006al000004i3WfAAI,001al00000jXbkEAAS,Noble-Johnston-New Business-2024-September-6k,Negotiation,90,New Business,,Forecast,005al000003E0tJAAS,13,3,Deanna Marsh,Noble-Johnston,Mid-Market,Newcastle,NSW,2300,Australia,Retail,,,39
9/22/2024,9/6/2024,42395540.9724,0,006al000004i3soAAA,001al00000jXbkBAAS,Mann-Faulkner-New Business-2024-September-278k,Negotiation,90,New Business,,Forecast,005al000003E0tGAAS,13,3,Andre Mcgee,Mann-Faulkner,Small Business,Newcastle,NSW,2300,Australia,Telecommunications,,,94
9/20/2024,9/8/2024,685416.897,0,006al000004i3hHAAQ,001al00000jXbjfAAC,"Gibson, Stevens and Burch-New Business-2024-September-6k",Negotiation,90,New Business,,Forecast,005al000003E0tNAAS,13,3,Lisa Hartman,"Gibson, Stevens and Burch",Mid-Market,Perth,WA,6000,Australia,Banking,,,90
9/20/2024,10/29/2024,2402314.2,0,006al000004i3KQAAY,001al00000jXbgYAAS,"Datanet, Inc. - Add-On Business - 17K",Discovery,35,Add-On Business,Data.com,BestCase,005al000003DxgTAAS,13,3,John Demby,"Datanet, Inc.",Partner,New York,NY,10002,USA,Communications,210000000,Warm,39
9/20/2024,8/28/2024,1533312,0,006al000004i3LPAAY,001al00000jXbgeAAC,Southern Solutions - Services - 11K,Qualification,20,Services,Referral,Pipeline,005al000003E0rMAAS,13,3,Bill South,Southern Solutions,Mid-Market,Santa Cruz,CA,95062,USA,Technology,1600000,Warm,101
9/20/2024,8/22/2024,1673466.3,0,006al000004i3MOAAY,001al00000jXbh4AAC,AJC Corporation - Services - 11K,Proposal/Quote,75,Services,Referral,BestCase,005al000003E0rLAAS,13,3,Ely East,AJC Corporation,Mid-Market,Los Angeles,CA,90035,USA,Technology,240000000,Warm,107
9/20/2024,10/27/2024,385713.9,0,006al000004i3MPAAY,001al00000jXbgSAAS,Green Fields Media - Services - 3K,Qualification,20,Services,Marketing Event,Pipeline,005al000003E0rLAAS,13,3,Ely East,Green Fields Media,Partner,Denver,CO,80202,USA,Communications,40000,Warm,41
9/20/2024,9/6/2024,2126371.5,0,006al000004i3NJAAY,001al00000jXbh3AAC,Harmon Consulting - New Business - 15K,Qualification,20,New Business,Social Media,Pipeline,005al000003E0s2AAC,13,3,Cindy Central,Harmon Consulting,Partner,New Orleans,LA,70130,USA,Communications,2400000,Hot,92
9/19/2024,8/23/2024,1908878.4,0,006al000004hvExAAI,001al00000jXbhnAAC,Amptech Corporation - Add-On Business - 16K,Qualification,20,Add-On Business,Data.com,Pipeline,005al000003E0s2AAC,13,3,Cindy Central,Amptech Corporation,Partner,London,,EC1V 9NR,UK,Financial Services,630000000,Warm,105
9/19/2024,10/27/2024,3758238,0,006al000004i3KOAAY,001al00000jXbgiAAC,Morpon Brothers - Add-On Business - 30K,Discovery,35,Add-On Business,Marketing Event,BestCase,005al000003DxgTAAS,13,3,John Demby,Morpon Brothers,Partner,Sydney,NSW,2007,Australia,Retail,5000000,Warm,40
9/19/2024,8/18/2024,6026426.406,0,006al000004i3MNAAY,001al00000jXbgpAAC,Homeland Company - New Business - 55K,Discovery,35,New Business,Marketing Event,BestCase,005al000003E0rLAAS,13,3,Ely East,Homeland Company,Small Business,New Hanover,NC,28403,USA,Manufacturing,250000000,Warm,110
9/19/2024,9/11/2024,3421440,0,006al000004i3KIAAY,001al00000jXbgZAAS,"Aims Social, Inc. - Add-On Business - 25K",Negotiation,90,Add-On Business,Marketing Event,Forecast,005al000003DxgTAAS,13,3,John Demby,"Aims Social, Inc.",Small Business,Cook,IL,60402,USA,Financial Services,77000000,Warm,86
9/19/2024,9/5/2024,15447801.6,0,006al000004i3KaAAI,001al00000jXbgtAAC,Optos Inc. - Add-On Business - 112K,Qualification,20,Add-On Business,Referral,Pipeline,005al000003DxgTAAS,13,3,John Demby,Optos Inc.,Partner,San Francisco,CA,94121,USA,Healthcare & Life Sciences,550000000,Warm,92
9/19/2024,10/26/2024,3474900,0,006al000004i3KiAAI,001al00000jXbhmAAC,Omega Technologies - Add-On Business - 25K,Qualification,20,Add-On Business,Social Media,Pipeline,005al000003DxgTAAS,13,3,John Demby,Omega Technologies,Partner,San Francisco,CA,94105,USA,Technology,53000000,Warm,41
9/19/2024,8/10/2024,4336675.2,0,006al000004i3KMAAY,001al00000jXbgvAAC,Permadyne - New Business - 39K,Discovery,35,New Business,Marketing Event,BestCase,005al000003DxgTAAS,13,3,John Demby,"Permadyne GmbH, LTD",Partner,Genève,,1205,Switzerland,Healthcare & Life Sciences,850000000,Warm,118
9/19/2024,8/30/2024,3936556.8,0,006al000004i3KKAAY,001al00000jXbgwAAC,Employnet - New Business - 29K,Discovery,35,New Business,Website,BestCase,005al000003DxgTAAS,13,3,John Demby,Employnet,Partner,Pittsburgh,PA,15219,USA,Financial Services,3600000,Warm,98
9/19/2024,9/14/2024,7539840,0,006al000004i3L7AAI,001al00000jXbgeAAC,Southern Solutions - Add-On Business - 50K,Negotiation,90,Add-On Business,Social Media,Forecast,005al000003E0rMAAS,13,3,Bill South,Southern Solutions,Mid-Market,Santa Cruz,CA,95062,USA,Technology,1600000,Warm,83
9/19/2024,8/22/2024,4152456,0,006al000004i3MMAAY,001al00000jXbh8AAC,"Vand Enterprises, Inc. - Add-On Business - 35K",Negotiation,90,Add-On Business,Referral,Forecast,005al000003E0rLAAS,13,3,Ely East,"Vand Enterprises, Inc.",Small Business,Shelby,TN,38111,USA,Manufacturing,96000000,Warm,106
9/19/2024,9/2/2024,14469840,0,006al000004hvEOAAY,001al00000jXbguAAC,UlyssesNet - Services - 100K,Qualification,20,Services,Marketing Event,Pipeline,005al000003E0s7AAC,13,3,Paul Partner,UlyssesNet,Partner,King,WA,98117,USA,Technology,480000000,Warm,95
9/19/2024,9/18/2024,12477139.29,0,006al000004hvEwAAI,001al00000jXbglAAC,Associated Supply Co. - Add-On Business - 35K,Proposal/Quote,75,Add-On Business,Marketing Event,BestCase,005al000003E0s2AAC,13,3,Cindy Central,Associated Supply Co.,Partner,Jefferson,TX,77701,USA,Manufacturing,21000000,Warm,79
9/18/2024,8/22/2024,819471.7674,0,006al000004i3X4AAI,001al00000jXbjUAAS,Valdez Ltd-New Business-2024-September-5k,Proposal/Quote,75,New Business,,BestCase,005al000003E0tQAAS,13,3,Prakash Das,Valdez Ltd,Small Business,Sydney,NSW,2000,Australia,Manufacturing,,,105
9/17/2024,8/27/2024,28837239.156,0,006al000004i3sfAAA,001al00000jXbjfAAC,"Gibson, Stevens and Burch-New Business-2024-September-256k",Negotiation,90,New Business,,Forecast,005al000003E0tNAAS,13,3,Lisa Hartman,"Gibson, Stevens and Burch",Mid-Market,Perth,WA,6000,Australia,Banking,,,99
9/17/2024,9/11/2024,36984111.9219,0,006al000004i3smAAA,001al00000jXbiOAAS,"King, Schmidt and Mosley-New Business-2024-September-269k",Negotiation,90,New Business,,Forecast,005al000003E0tkAAC,13,3,Bob Hodges,"King, Schmidt and Mosley",Small Business,Chicago,IL,60007,USA,Banking,,,84
9/16/2024,9/13/2024,10378368,0,006al000004i3KHAAY,001al00000jXbgjAAC,Universal Services - Add-On Business - 65K,Negotiation,90,Add-On Business,Social Media,Forecast,005al000003DxgTAAS,13,3,John Demby,Universal Services,Small Business,Clark,NV,89119,USA,Financial Services,460000000,Warm,81
9/16/2024,9/4/2024,10236253.5,0,006al000004i3KLAAY,001al00000jXbgwAAC,Employnet - New Business - 81K,Proposal/Quote,75,New Business,Cold Call,BestCase,005al000003DxgTAAS,13,3,John Demby,Employnet,Partner,Pittsburgh,PA,15219,USA,Financial Services,3600000,Warm,90
9/15/2024,10/28/2024,872514.72,0,006al000004i3hgAAA,001al00000jXbjuAAC,Shaw-Herrera-New Business-2024-September-6k,Proposal/Quote,75,New Business,,BestCase,005al000003E0tQAAS,13,3,Prakash Das,Shaw-Herrera,Mid-Market,Chicago,IL,60007,USA,Retail,,,35
9/15/2024,9/17/2024,814606.056,0,006al000004i3WuAAI,001al00000jXbjfAAC,"Gibson, Stevens and Burch-New Business-2024-September-6k",Negotiation,90,New Business,,Forecast,005al000003E0tNAAS,13,3,Lisa Hartman,"Gibson, Stevens and Burch",Mid-Market,Perth,WA,6000,Australia,Banking,,,76
9/15/2024,8/20/2024,768675.6792,0,006al000004i3osAAA,001al00000jXbi3AAC,Garcia-Davidson-New Business-2024-September-6k,Negotiation,90,New Business,,Forecast,005al000003E0tiAAC,13,3,Mark Kingston,Garcia-Davidson,Mid-Market,Fukuoka,Fukuoka,810-0001,Japan,Communications,,,104
9/15/2024,9/5/2024,792046.2528,0,006al000004i3iSAAQ,001al00000jXbiEAAS,Hines Ltd-New Business-2024-September-6k,Negotiation,90,New Business,,Forecast,005al000003E0tnAAC,13,3,Andrea Bowden,Hines Ltd,Mid-Market,Nice,Provence-Alpes-C√¥te d'Azur,06000,France,Technology,,,88
9/14/2024,8/21/2024,921640.7772,0,006al000004i3qgAAA,001al00000jXbk8AAC,Ramirez-Hill-New Business-2024-September-6k,Negotiation,90,New Business,,Forecast,005al000003E0tDAAS,13,3,Xavier Acme,Ramirez-Hill,Mid-Market,Dallas,TX,75201,USA,Manufacturing,,,102
9/14/2024,8/30/2024,7611120,0,006al000004i3KNAAY,001al00000jXbhpAAC,"Plasmosis, Inc. - New Business - 50K",Proposal/Quote,75,New Business,Referral,BestCase,005al000003DxgTAAS,13,3,John Demby,"Plasmosis, Inc.",Mid-Market,Silver Spring,MD,20910,USA,Healthcare & Life Sciences,0,Warm,93
9/14/2024,8/28/2024,711254.6496,0,006al000004i3Y9AAI,001al00000jXbiEAAS,Hines Ltd-New Business-2024-September-6k,Negotiation,90,New Business,,Forecast,005al000003E0tnAAC,13,3,Andrea Bowden,Hines Ltd,Mid-Market,Nice,Provence-Alpes-C√¥te d'Azur,06000,France,Technology,,,95
9/13/2024,9/2/2024,914086.3446,0,006al000004i3f1AAA,001al00000jXbk8AAC,Ramirez-Hill-New Business-2024-September-6k,Negotiation,90,New Business,,Forecast,005al000003E0tDAAS,13,3,Xavier Acme,Ramirez-Hill,Mid-Market,Dallas,TX,75201,USA,Manufacturing,,,89
9/12/2024,9/19/2024,755367.4656,0,006al000004i3fVAAQ,001al00000jXbjlAAC,"Lewis, Shaffer and Miles-New Business-2024-September-5k",Proposal/Quote,75,New Business,,BestCase,005al000003E0tGAAS,13,3,Andre Mcgee,"Lewis, Shaffer and Miles",Mid-Market,Basel,Basel-Stadt,4001,Switzerland,Banking,,,71
9/12/2024,9/11/2024,12074832,0,006al000004i3KhAAI,001al00000jXbgzAAC,Haven Enterprises - New Business - 84K,Qualification,20,New Business,Website,Pipeline,005al000003DxgTAAS,13,3,John Demby,Haven Enterprises,Mid-Market,Baltimore (city),MD,21223,USA,Financial Services,1300000000,Hot,79
9/12/2024,8/29/2024,743057.6868,0,006al000004i3qpAAA,001al00000jXbiMAAS,"Rivas, Mckenzie and Walters-New Business-2024-September-5k",Proposal/Quote,75,New Business,,BestCase,005al000003E0tkAAC,13,3,Bob Hodges,"Rivas, Mckenzie and Walters",Partner,Kyoto,Kyoto,600-0001,Japan,Banking,,,92
9/12/2024,8/19/2024,704493.702,0,006al000004i3jlAAA,001al00000jXbjiAAC,"Watts, Gutierrez and Montoya-New Business-2024-September-6k",Negotiation,90,New Business,,Forecast,005al000003E0tDAAS,13,3,Xavier Acme,"Watts, Gutierrez and Montoya",Small Business,Glasgow,Scotland,G1 1XQ,United Kingdom,Retail,,,102
9/12/2024,9/1/2024,8737606.35,0,006al000004i3KYAAY,001al00000jXbgsAAC,Towson Inc. - Add-On Business - 64K,Qualification,20,Add-On Business,Marketing Event,Pipeline,005al000003DxgTAAS,13,3,John Demby,Towson Inc.,Mid-Market,Alameda,CA,94601,USA,Retail,7100000,Warm,89
